Institute,City,Degree,Program,Duration,Eligibility,Admission Test,Fee URL,Program URL
University of the Punjab,Lahore,MS,M.Sc. Coal Technology Faculty of Geo-Sciences Centre for Geographical Information System,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,M.Sc. Geography (Morning) Masters M,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,M.Sc. IT (Morning Program) Masters M,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,M.Sc. Microbiology & Molecular Genetics Masters BS Microbiology and Molecular Genetics (Evening) Institute of Zoology Degree Program Name Masters BS Zoology,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,M.Sc. Seismology (Self-Supporting) Masters MS Environmental Sciences (Morning,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,M.Sc. Space Science School of Chemistry Degree Program Name Masters AD Chemistry (,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,MS Environmental Sciences (Morning,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,MS Health Administration (,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,MS Human Resource Management (,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,MS Industrial Engineering & Management (Self-Supporting,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,MS One Year in Clinical Psychology (Self-Supporting) Department of Gender Studies Degree Program Name Masters M,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,MS Total Quality Management (TQM) (Self-Supporting,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,Ph.D Programs Masters Programs Undergraduate Programs Diploma Certificates All Programs Scholarships HEC Approved Supervisors Student Information Affiliated Colleges Semester System Annual System Campus Life Careers Apply Online Available Jobs Admission Apply Online (On-Campus Programs) Notices BS Admission Related FAQs Regulations Merit of Last Year,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,MS,Ph.D. Produced Annual Reports Debates Sports Community Services Authorized Bank Branches List of all Ph,2 Years,Relevant BS (16 years education),GAT (General) or Departmental Test,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/masters
University of the Punjab,Lahore,PhD,BS Admission Related FAQs Regulations Merit of Last Year,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Ph.%20D
University of the Punjab,Lahore,PhD,Ph.D (Computer Science) Department of Data Science Degree Program Name Ph,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Ph.%20D
University of the Punjab,Lahore,PhD,Ph.D (Morning) in Molecular Biology & Forensic Sciences Department of Public Health Degree Program Name Ph,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Ph.%20D
University of the Punjab,Lahore,PhD,Ph.D Applied Geology Faculty of Health Sciences Centre for Applied Molecular Biology (CAMB) Degree Program Name Ph,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Ph.%20D
University of the Punjab,Lahore,PhD,Ph.D Applied Hydrology Ph,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Ph.%20D
University of the Punjab,Lahore,PhD,Ph.D Applied Psychology Institute of Social & Cultural Studies Degree Program Name Ph,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Ph.%20D
University of the Punjab,Lahore,PhD,Ph.D Arabic Faculty of Quality & Industrial Systems Engineering Institute of Industrial Engineering & Management Degree Program Name Ph,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Ph.%20D
University of the Punjab,Lahore,PhD,Ph.D Biotechnology School of Biological Sciences Degree Program Name Ph,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Ph.%20D
University of the Punjab,Lahore,PhD,Ph.D Botany (Regular) Institute of Microbiology and Molecular Genetics Degree Program Name Ph,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Ph.%20D
University of the Punjab,Lahore,PhD,Ph.D Chemical Engineering Institute of Metallurgy & Materials Engineering Degree Program Name Ph,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Ph.%20D
University of the Punjab,Lahore,PhD,Ph.D Gender Studies (Morning,3–5 Years,Relevant MS / MPhil,GAT (Subject) + Interview,https://pu.edu.pk/fee,https://pu.edu.pk/program/index/Ph.%20D
